31	7	0	0	4	8	0
5	32	2	0	0	3	6
0	8	33	9	0	0	1
0	0	4	34	7	0	0
2	0	0	6	35	5	0
9	1	0	0	8	36	4
0	7	3	0	0	2	37

0	0	0	7	-1	-1	-4
0	0	-1	9	-3	-3	-2
0	0	-3	9	-3	-3	0
0	0	-4	5	-1	0	0
0	-2	-1	6	-3	0	0
-3	-2	-2	9	-2	0	0
-1	-1	-4	6	0	0	0

0	0	0	7	1	1	4
0	0	1	9	3	3	2
0	0	3	9	3	3	0
0	0	4	5	1	0	0
0	2	1	6	3	0	0
3	2	2	9	2	0	0
1	1	4	6	0	0	0


7	-1	0	0	-1	-4	0
-1	9	-3	0	0	-3	-2
0	-3	9	-3	0	0	-3
0	0	-4	5	-1	0	0
-2	0	0	-1	6	-3	0
-3	-2	0	0	-2	9	-2
0	-1	-1	0	0	-4	6

-24 -24 -12 3 6 23 13

7	1	0	0	1	4	0
1	9	3	0	0	3	2
0	3	9	3	0	0	3
0	0	4	5	1	0	0
2	0	0	1	6	3	0
3	2	0	0	2	9	2
0	1	1	0	0	4	6

38 60 66 37 54 85 71
